<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19950912,000000,7.22333,7.22333,7.22333,7.22333,117540.63058346,0
CDR,D,19950913,000000,7.04676,7.04676,7.04676,7.04676,168128.65916424,0
CDR,D,19950914,000000,7.2792,7.2792,7.2792,7.2792,145507.88758031,0
CDR,D,19950915,000000,7.20482,7.20482,7.20482,7.20482,159780.22423981,0
CDR,D,19950918,000000,6.85156,6.85156,6.85156,6.85156,105774.8756138,0
CDR,D,19950919,000000,6.17284,6.17284,6.17284,6.17284,98061.290961873,0
CDR,D,19950920,000000,6.13569,6.13569,6.13569,6.13569,112211.5804769,0
CDR,D,19950921,000000,6.22861,6.22861,6.22861,6.22861,134530.82382156,0
CDR,D,19950922,000000,6.15431,6.15431,6.15431,6.15431,51176.726571769,0
CDR,D,19950925,000000,6.19146,6.19146,6.19146,6.19146,53841.251625045,0
CDR,D,19950926,000000,6.27511,6.27511,6.27511,6.27511,78132.735800126,0
CDR,D,19950927,000000,6.47032,6.47032,6.47032,6.47032,85446.33401218,0
CDR,D,19950928,000000,5.82885,5.82885,5.82885,5.82885,217510.57478788,0
CDR,D,19950929,000000,6.19146,6.19146,6.19146,6.19146,93153.765026565,0
CDR,D,19951002,000000,6.27511,6.27511,6.27511,6.27511,72468.312447837,0
CDR,D,19951003,000000,6.22861,6.22861,6.22861,6.22861,46688.673595195,0
CDR,D,19951004,000000,5.88472,5.88472,5.88472,5.88472,42236.516837584,0
CDR,D,19951005,000000,5.78243,5.78243,5.78243,5.78243,54699.684061378,0
CDR,D,19951006,000000,5.97764,5.97764,5.97764,5.97764,49827.028738777,0
CDR,D,19951009,000000,5.70804,5.70804,5.70804,5.70804,24789.928815531,0
CDR,D,19951010,000000,5.65216,5.65216,5.65216,5.65216,65038.820728846,0
CDR,D,19951011,000000,5.63365,5.63365,5.63365,5.63365,67575.145000114,0
CDR,D,19951012,000000,5.63365,5.63365,5.63365,5.63365,45727.680533254,0
CDR,D,19951013,000000,5.5965,5.5965,5.5965,5.5965,54629.942835965,0
CDR,D,19951016,000000,5.54988,5.54988,5.54988,5.54988,24491.477395015,0
CDR,D,19951017,000000,5.68941,5.68941,5.68941,5.68941,77165.58910065,0
CDR,D,19951018,000000,5.65216,5.65216,5.65216,5.65216,31856.355919872,0
CDR,D,19951019,000000,5.49421,5.49421,5.49421,5.49421,42313.437306789,0
CDR,D,19951020,000000,5.18737,5.18737,5.18737,5.18737,24015.596092196,0
CDR,D,19951023,000000,5.18737,5.18737,5.18737,5.18737,58250.332919901,0
CDR,D,19951024,000000,5.08519,5.08519,5.08519,5.08519,49042.439952881,0
CDR,D,19951025,000000,5.08519,5.08519,5.08519,5.08519,39608.913609525,0
CDR,D,19951026,000000,5.18737,5.18737,5.18737,5.18737,39640.707403463,0
CDR,D,19951027,000000,5.38268,5.38268,5.38268,5.38268,69166.885909539,0
CDR,D,19951030,000000,5.38268,5.38268,5.38268,5.38268,16825.070630872,0
CDR,D,19951031,000000,5.22462,5.22462,5.22462,5.22462,38579.204928428,0
CDR,D,19951102,000000,5.38268,5.38268,5.38268,5.38268,15057.951051659,0
